,p1,p2,p3,p4
60,"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-191'],"['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
62,"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-191'],"['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
22,"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-983', 'OAK-MOR-191']","['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
270,"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-191'],['OAK-MOR-578.fq.barcodeStripped']
200,"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-191'],"['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
20,"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-983', 'OAK-MOR-191']","['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
202,"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-191'],"['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
160,"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-983', 'OAK-MOR-191']","['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
63,['OAK-MOR-588.fq.barcodeStripped'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-191'],"['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
230,"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-983', 'OAK-MOR-191']",['OAK-MOR-578.fq.barcodeStripped']
340,"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-191'],['OAK-MOR-981']
23,['OAK-MOR-588.fq.barcodeStripped'],['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-983', 'OAK-MOR-191']","['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
272,"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-191'],['OAK-MOR-578.fq.barcodeStripped']
233,['OAK-MOR-588.fq.barcodeStripped'],['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-983', 'OAK-MOR-191']",['OAK-MOR-578.fq.barcodeStripped']
203,['OAK-MOR-588.fq.barcodeStripped'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-191'],"['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
162,"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-983', 'OAK-MOR-191']","['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
273,['OAK-MOR-588.fq.barcodeStripped'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-191'],['OAK-MOR-578.fq.barcodeStripped']
204,['OAK-MOR-1144'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-191'],"['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
300,"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-983', 'OAK-MOR-191']",['OAK-MOR-981']
130,"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-191'],['OAK-MOR-982']
342,"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-191'],['OAK-MOR-981']
164,['OAK-MOR-1144'],['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-983', 'OAK-MOR-191']","['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
132,"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-191'],['OAK-MOR-982']
90,"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-983', 'OAK-MOR-191']",['OAK-MOR-982']
